F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,Label
0.63685,0.37326,0.32888,0.19569,1.1797,2.7889,1.9828,2.9627,3.9441,4.6206,5.1347,2.6069,1.9958,2.016,1.3858,1.4377,0.48879,0.55877,0.56928,0.27569,0.7329,0.30807,0.47126,0.23282,0.30786,0.54772,0.086096,0.28287,0.49371,0.41206,0.45177,0.2033,0.5714,0.14691,0.39226,0.32885,0.48485,0.44144,0.51052,0.1813,0.38426,0.59888,0.52696,0.27697,0.25518,0.76916,1.0897,0.76962,0.46111,0.87255,0.34924,1,Corona
0.33328,0.51962,0.52554,0.22867,0.60102,2.0083,1.3814,1.9846,2.0524,3.5435,3.7189,1.0454,1.7875,1.4836,0.73514,1.8633,0.58753,0.34958,0.07404,0.33977,0.59542,0.7012,0.071113,0.38884,0.17826,0.2973,0.1426,0.46125,1.1115,0.37991,0.46751,0.38086,0.63391,0.13617,0.68848,0.21789,0.18394,0.44758,0.46439,0.33151,0.7205,0.72202,1.0069,0.36088,0.21574,0.63787,0.66068,0.48976,0.59641,0.42912,0.15985,1,Corona
0.5814,0.27478,0.71937,0.30101,0.88893,2.5237,2.0393,2.6393,4.4872,4.527,5.1987,2.2001,1.4533,2.0246,1.4457,1.0474,0.7587,0.33312,0.24603,0.09305,0.29045,0.70309,0.83507,0.63145,0.98223,0.55763,0.1192,0.67516,0.47682,0.93295,0.41817,0.53841,0.42283,0.11708,0.44961,0.47001,0.61227,0.19756,0.50645,0.90834,0.59058,0.98117,1.1057,0.66185,0.68869,0.28534,0.64653,0.41968,0.60541,0.23328,0.041946,1,Corona
0.39413,0.28505,0.30853,0.42387,0.4392,2.1357,0.70809,1.2264,3.3939,3.5426,3.9091,1.3141,0.34493,0.97064,1.0339,2.1964,0.24667,0.59278,0.34925,0.82455,0.86787,1.0429,1.0204,0.89794,0.57512,0.11113,0.24864,0.30388,0.38097,0.25558,0.11391,0.13918,0.37764,0.4021,0.17804,0.32727,0.20768,0.35079,0.33255,0.25983,0.44198,0.67328,0.62162,0.27307,0.54704,0.0066977,0.78127,0.35804,0.19981,0.47359,0.19269,1,Corona
1.6722,0.46637,0.91348,0.49093,0.73296,1.5995,1.6901,1.5915,2.8773,2.875,2.5879,0.49305,0.72374,2.2063,1.4512,3.4488,1.0065,0.68396,0.76009,0.4337,0.60412,0.63188,1.3261,1.1048,0.21069,0.49473,0.57636,0.60343,0.42582,0.38258,0.77602,0.80295,0.29657,0.40698,0.79787,0.049775,0.93176,0.46654,0.66843,0.14427,0.22625,0.10658,0.097535,0.72349,0.2688,0.56209,0.49358,0.9375,0.676,0.51824,0.19651,1,Corona
0.21256,0.38583,0.23497,0.35983,0.96087,1.436,1.9705,1.9884,1.9109,2.9156,3.5308,0.73647,0.53788,1.5334,1.4493,0.83218,0.9945,1.433,0.62527,0.46658,0.2567,0.46898,0.64515,1.041,0.24138,0.61301,0.16742,0.10393,0.67314,0.23081,0.5087,0.078542,0.53241,0.29311,0.17747,0.87881,0.19881,0.61142,0.41587,0.37279,0.36524,0.094255,0.17087,0.10106,0.30443,0.30472,0.13036,0.3752,0.23149,0.28726,0.31376,1,Corona
1.333,0.62152,0.33547,0.023518,0.78799,2.2914,0.98367,2.3294,4.2104,5.2303,4.9535,1.7003,1.4936,1.5695,0.58498,0.34819,0.78171,0.56771,0.36179,0.38704,0.1772,1.2183,0.67485,1.6644,0.57192,0.42674,0.5843,0.25258,0.53683,0.15325,0.13149,0.082772,0.50349,0.21076,0.42684,0.77767,0.29635,0.42999,0.1873,0.27241,0.3809,0.64389,0.43574,0.95313,0.25197,0.29601,0.3187,0.31962,0.63487,0.4324,0.73628,1,Corona
0.10054,0.19596,0.2916,0.70683,0.48162,2.1807,2.063,2.8585,4.6692,4.7693,5.5835,1.9571,1.4502,1.466,0.98621,1.1848,0.62518,0.81618,1.1329,0.72606,0.52943,0.65693,0.23334,0.82594,1.4951,0.14066,0.051784,0.52854,0.069008,0.82119,0.29787,0.14378,0.36346,1.0697,0.11867,0.35349,0.23549,0.25243,0.65617,0.61911,0.5172,0.13426,0.26758,0.40651,0.53736,0.24929,0.70996,0.51395,0.28896,0.18321,0.17836,1,Corona
0.03661,0.58327,0.23747,0.88012,0.51619,2.9948,1.9991,2.8872,3.3788,4.536,4.268,2.2107,0.6641,0.67903,0.33177,0.39938,0.51079,0.35008,0.52445,0.28384,0.49985,0.23989,1.2316,0.99405,0.067083,0.36609,0.7705,0.37841,0.82028,0.91385,0.17524,0.51164,0.60476,0.16956,0.44266,0.62454,0.12025,0.36827,0.28274,0.59398,0.35788,0.55345,0.16141,0.79903,0.57485,0.6093,0.51538,0.14885,0.79558,0.58973,0.87577,1,Corona
0.81995,0.70157,0.32217,0.63029,0.66112,3.3249,2.2564,2.357,3.1918,4.5548,5.0658,2.4277,1.2781,1.8064,0.57157,0.88605,0.20521,0.35074,0.26769,0.28681,0.11573,0.58527,0.45984,0.70716,0.45769,0.6909,0.38515,0.58544,0.40916,0.63538,1.3342,0.20928,0.13185,0.10588,0.46724,0.30192,0.57456,0.42164,0.40384,0.44332,0.31002,0.29365,0.10002,0.4125,0.51235,0.26781,0.4782,0.76182,0.4888,1.0521,0.24975,1,Corona
