F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,Label
4.2593,7.2862,9.0611,3.1707,8.2033,12.573,3.8287,11.067,10.174,1.608,9.2405,6.8028,5.4756,17.638,8.1175,14.182,13.093,10.414,10.817,3.6951,4.9682,16.41,4.7428,10.115,7.3302,8.615,3.7686,4.3301,8.8908,8.1265,1,Corona
26.718,42.333,7.6004,12.993,7.2286,3.1067,5.5759,7.3162,21.334,12.521,15.659,0.92767,11.369,11.035,1.1104,8.1816,17.439,13.044,15.307,14.505,19.52,13.689,16.236,5.2819,7.0316,18.394,3.5342,2.8853,8.7009,13.559,1,Corona
22.881,25.736,15.717,9.3114,11.735,9.6207,10.922,12.292,1.5227,4.1531,9.6022,17.328,16.822,8.3994,0.65459,12.633,9.7922,19.404,10.793,12.368,21.725,18.382,2.3659,15.747,16.931,6.1685,9.0795,21.954,11.208,9.1845,1,Corona
5.7265,16.58,26.513,15.844,10.741,7.9158,14.406,10.944,12.744,7.9781,3.9499,28.077,8.9448,17.333,10.962,3.092,13.349,16.466,11.878,30.831,17.53,18.039,12.726,25.693,23.142,12.655,13.371,6.0264,10.393,5.5945,1,Corona
19.007,16.298,27.246,7.7267,2.8401,4.837,5.1707,5.0965,14.634,20.453,10.256,24.408,21.276,3.6079,29.976,2.5025,9.5051,3.7984,22.69,11.552,15.532,14.628,4.5942,8.4403,9.2407,23.704,9.9245,15.505,16.996,11.129,1,Corona
14.009,27.586,13.302,5.1981,26.231,12.87,24.461,16.818,23.491,18.336,17.616,14.424,12.76,32.917,6.7462,7.6744,2.6226,6.9821,4.4156,26.666,8.5176,18.181,4.405,4.1071,8.9234,3.22,22.919,10.182,5.6544,4.3775,1,Corona
27.117,20.809,9.9334,10.115,7.3742,5.202,15.672,10.335,9.1999,7.3252,13.637,8.4072,13.577,1.7886,9.6695,9.047,15.923,12.685,14.93,5.6367,10.659,12.842,3.8985,7.4654,8.8854,11.969,11.238,14.227,22.636,11.685,1,Corona
1.7652,12.817,7.9756,10.46,6.338,3.1774,12.168,9.4075,5.9765,7.4345,21.591,17.239,22.829,23.987,34.136,4.5507,10.293,27.605,20.34,16.35,11.88,21.148,14.26,13.124,21.275,32.767,20.056,24.558,10.28,12.356,1,Corona
10.651,15.833,11.721,30.693,40.693,12.634,13.317,8.9,18.209,23.811,17.775,10.802,5.4544,5.9379,8.3663,23.573,14.751,14.116,3.3339,5.2527,32.625,9.9272,14.58,22.211,21.13,9.3575,23.173,4.1175,9.496,15.888,1,Corona
2.544,15.182,12.736,6.7057,12.425,17.833,9.2902,11.982,11.505,4.001,11.005,5.944,16.187,25.812,7.0835,17.29,23.051,28.931,16.533,9.1765,35.754,11.031,10.273,5.78,16.231,20.585,25.625,10.172,15.062,16.613,1,Corona
12.819,17.038,36.336,11.281,20.38,22.897,19.974,8.054,22.541,30.08,14.304,23.038,8.8731,38.055,16.559,25.948,40.002,14.996,15.437,30.075,24.259,6.4833,15.543,32.723,25.766,28.395,5.7546,7.349,30.575,7.5157,1,Corona
2.5676,2.2277,3.0535,3.1552,2.3186,1.2502,2.7754,2.2554,1.5551,1.17,1.3917,1.9219,4.0511,1.7311,2.4873,1.6769,0.64481,1.9865,5.8228,4.5832,1.9716,2.8932,0.42016,4.0667,0.97357,1.3427,1.7108,1.7925,0.73982,0.45497,1,Corona
5.6809,35.195,39.987,6.2849,24.587,6.9509,30.951,6.1083,33.968,21.323,20.162,23.952,10.44,5.7931,10.109,11.277,11.585,16.898,14.002,8.029,8.0682,15.3,18.574,18.515,4.0467,11.038,18.803,15.55,16.516,21.85,1,Corona
1.4364,5.9442,3.4192,3.1209,4.2834,4.0717,3.0952,0.81147,0.94696,0.72919,2.0415,2.2114,3.1762,2.7738,1.1148,4.2862,4.8861,1.4364,2.9325,4.6092,3.2384,3.2422,3.5477,1.997,4.4392,2.2565,3.5804,3.2643,1.831,3.1694,1,Corona
2.506,3.9806,0.80089,3.7169,0.51531,1.7473,1.9888,4.253,4.6291,1.3546,2.5269,1.5026,1.4654,0.92836,0.72941,5.4984,3.0486,3.484,3.9331,1.4845,2.2805,1.627,1.1603,0.96986,4.9282,1.731,2.224,3.087,1.5895,2.558,1,Corona
3.0524,1.6332,0.99701,0.96959,0.22881,0.76387,1.9443,1.6635,1.3118,0.96463,0.95098,0.32137,0.71071,1.7978,0.56346,0.41724,0.95664,0.73211,1.3811,3.2306,0.89052,0.73713,0.75209,0.60224,1.6846,1.9161,1.3376,0.9889,1.1562,0.70339,2,Surface
2.3118,1.2662,2.07,1.1488,1.5905,0.43109,0.67528,2.1229,0.3367,1.5885,1.2777,0.95261,1.628,1.4048,1.5726,0.80673,0.60812,0.61125,0.97812,0.59508,0.50593,0.83869,1.0283,0.79877,1.6753,0.58521,0.577,1.295,1.4553,1.9549,2,Surface
1.4717,2.7988,0.56331,0.97809,1.7084,1.1115,0.47793,1.3866,1.3432,0.65136,0.19897,1.9574,0.18398,1.2237,0.54717,0.51391,0.68932,1.9913,1.8204,1.3211,1.9701,0.49838,1.3331,1.3924,0.18075,0.82211,0.87268,0.93126,1.3531,0.99476,2,Surface
2.4819,1.7099,0.32385,1.4464,2.2752,0.56139,1.0727,0.90658,2.0646,0.4496,0.36948,1.5539,0.99996,0.66359,0.59485,0.41928,0.39544,1.9223,0.58853,1.9299,0.8926,1.1857,1.2697,1.2997,1.3306,0.43161,0.74178,0.59401,2.3005,0.87565,2,Surface
0.95422,0.90669,0.96193,0.26419,0.75754,0.73282,0.43701,1.6415,0.47159,1.1129,0.97234,1.9159,0.85152,1.0778,1.4134,2.1628,1.8787,0.86003,2.0201,0.60402,1.0513,1.2551,1.3881,1.8456,1.9653,0.51737,1.2353,0.53332,1.0069,1.2085,2,Surface
1.0411,1.3642,0.86367,1.3531,0.31983,0.33368,1.7551,0.69416,0.75657,1.5383,2.5017,0.52044,1.3037,0.88836,1.0505,0.54936,1.5581,1.2777,0.67861,0.17437,0.73925,1.2242,0.73052,0.7757,1.0658,1.0191,1.3598,0.60792,1.0643,0.41642,2,Surface
3.0939,1.8509,0.51923,1.1565,0.58134,0.66254,1.4105,0.687,0.893,0.17685,1.2155,1.2973,1.142,0.84112,1.2727,1.2108,0.62569,2.5674,0.44244,2.2684,1.0143,0.12364,0.93209,0.80168,1.4,2.3674,0.54867,1.4147,1.5519,1.0113,2,Surface
2.5549,1.9794,0.55558,1.8427,1.3589,0.33033,1.1051,2.412,1.2909,0.65495,1.9369,0.21392,1.2789,2.0078,0.2335,0.79867,0.84855,1.3604,1.2604,2.3753,0.67584,1.4363,0.18648,1.8164,1.5753,0.8804,0.18283,0.41774,0.51373,0.66946,2,Surface
1.2327,1.0445,1.5604,0.21668,0.91309,1.4887,0.8467,1.3226,1.1438,0.7651,1.3945,0.66832,0.72238,0.77216,0.31043,0.76661,1.8655,1.598,0.43756,1.8019,1.4669,0.019456,0.39531,1.9522,1.1155,1.4699,1.2257,0.99877,0.66251,0.58577,2,Surface
1.861,0.53424,0.94622,1.041,0.40152,1.2212,0.92624,0.29923,0.87577,0.96064,0.74843,0.6822,1.0744,2.2665,1.6948,0.20858,0.38608,0.28432,1.0619,1.1676,0.19428,1.055,1.0115,1.0817,0.67966,1.2777,0.68112,0.45449,0.82198,2.2278,2,Surface
3.0929,1.4772,0.27303,1.1039,0.94966,0.53279,0.3376,1.2271,1.3022,0.6486,0.92147,1.0209,0.68779,1.6757,0.80662,1.5107,0.96755,1.6187,2.2266,0.32887,0.94337,1.6028,2.4752,0.84152,1.7823,1.9858,2.5585,2.0809,0.72332,0.78198,2,Surface
1.748,1.9133,0.71985,0.89154,0.44727,1.0425,0.44698,1.5031,0.54287,0.18956,1.9267,2.2952,1.3252,0.62064,0.56432,0.33508,1.5426,0.657,3.5846,0.94837,0.21986,0.45347,2.1415,0.76374,0.61042,1.3398,0.58343,0.74742,0.91871,1.2805,2,Surface
2.9718,1.0531,0.7549,0.86233,0.60643,0.47907,0.63865,0.30226,0.304,1.7,0.45176,0.76204,1.2975,1.9285,1.1868,0.54402,1.1554,1.885,0.23747,0.54195,0.95316,1.0018,1.5522,1.2505,1.0255,1.3006,1.8615,1.8889,0.82766,1.4448,2,Surface
1.1933,2.5143,1.49,0.66693,1.1072,2.4795,1.4388,1.1649,0.52076,1.6666,1.9737,0.90707,2.2415,1.1968,2.1498,2.2494,1.9365,1.6749,1.2608,1.0204,1.3462,0.71739,1.1545,2.3126,0.82913,1.8618,1.2817,0.76672,2.0118,1.4755,2,Surface
0.30527,1.3339,2.4633,0.76836,1.7925,1.2344,2.0054,1.2388,0.40261,1.5575,1.3663,0.72326,1.5134,1.2189,0.53086,0.97978,1.7894,1.1801,1.614,1.1013,1.8373,1.6163,1.4923,1.1338,1.1468,0.85179,0.87715,0.32483,2.5845,1.3504,2,Surface
0.30903,3.5168,0.79897,0.67082,0.72964,0.87104,1.8992,2.1721,1.5872,1.4184,1.3512,0.91948,0.25458,1.4187,0.84243,2.0192,1.8168,2.1369,1.2254,0.93141,0.83165,0.51985,1.1458,0.70551,0.60066,0.60746,0.64255,1.1629,1.5169,2.6687,2,Surface
0.077977,1.5628,0.68079,1.9415,1.6456,0.56447,2.2015,0.91492,0.34642,0.92216,0.63824,1.8767,1.1292,1.5815,1.7732,1.3766,1.7274,1.4531,2.7203,1.2439,1.123,0.54276,2.853,0.80914,0.95295,1.4007,0.37382,2.0756,1.956,0.87781,2,Surface
3.271,1.4613,1.5794,1.9189,0.73624,1.149,1.06,0.90223,0.80458,1.4078,1.6106,1.7003,1.479,0.36211,1.9101,1.1279,0.71023,1.6093,1.5636,1.4243,1.1127,0.41342,1.0849,1.7622,1.5174,2.1445,0.87333,1.0405,0.44538,1.382,2,Surface
1.393,2.3352,0.52477,1.0774,2.1685,0.045006,1.3929,1.2915,1.1004,1.3744,0.81804,0.91902,2.33,1.3907,1.6731,1.1451,0.72636,0.64751,1.5322,1.8615,0.54135,1.7693,1.2221,2.1434,1.3686,1.8428,1.444,1.0361,1.3291,1.1944,2,Surface
0.090959,1.7494,1.2136,2.0609,2.1009,1.4122,0.93411,1.5631,0.87365,2.398,0.93605,0.41103,1.2239,1.5511,1.3174,0.35236,1.4547,0.92943,1.2579,0.58291,1.5454,2.3885,1.0016,0.72617,0.33405,1.2568,0.62459,0.41069,1.6483,0.62787,2,Surface
1.2051,0.5516,1.2086,0.68919,0.42491,1.1206,1.2016,1.7554,1.1534,2.369,1.0258,0.69124,2.1818,0.99293,1.4719,1.4893,0.076814,1.1934,2.206,0.62081,1.2554,1.4915,2.4814,1.0665,0.45806,3.2483,1.145,1.5348,1.1534,0.52228,2,Surface
1.0606,0.86402,1.1813,2.2614,0.97245,3.5213,1.0178,0.50824,1.8285,0.14613,0.86948,0.58445,3.3105,0.60867,1.2525,1.1239,1.013,1.2212,0.6842,1.0585,0.85483,2.7118,1.9224,1.3602,1.6917,1.4147,0.33195,0.24206,0.81103,2.1648,2,Surface
1.5825,0.853,0.35662,0.67799,1.3185,1.8945,1.4846,1.1017,1.1119,0.79185,1.28,0.83032,0.52713,0.95476,0.99269,0.3366,0.62062,0.22597,1.4416,1.0836,0.96268,0.83193,0.92499,2.3955,0.14897,1.1607,1.8322,0.79528,0.46193,1.2579,2,Surface
5.1355,0.71537,1.9609,2.8,0.81472,1.605,0.45134,1.2093,1.9064,1.628,1.589,0.88166,1.0485,0.24026,1.1007,1.4735,1.3833,1.0528,1.8584,0.8566,0.29526,0.7367,0.98231,1.4237,1.2678,3.8868,2.0656,1.4939,1.4395,2.1336,2,Surface
1.3752,2.1065,3.8556,0.47945,2.2923,1.1273,2.6478,0.54898,1.6747,1.4757,0.94281,0.40368,1.4235,0.7678,3.1753,0.78374,0.78197,2.2547,2.0783,1.118,0.51388,0.055076,0.59581,1.2827,1.8997,1.6812,1.4452,0.96224,0.63592,0.84777,2,Surface
0.62916,0.4745,2.1796,0.57189,2.3444,0.99729,0.81711,0.59156,1.8176,0.70022,0.28095,2.7337,2.3626,1.027,2.0808,2.3527,1.1254,0.2908,1.9196,0.84392,0.38032,0.58099,1.3123,2.0566,0.89033,1.7257,3.2024,1.1936,1.7534,1.922,2,Surface
1.9341,2.3002,0.57448,0.79183,0.44325,1.6174,0.40002,0.71219,0.13612,1.9717,1.3024,1.8686,2.038,1.9855,2.1659,0.90172,2.2207,0.47689,2.1441,1.0455,0.38802,0.4209,1.0179,1.3553,1.1356,0.55796,0.14201,0.68703,0.84964,0.84254,2,Surface
0.40692,0.84115,0.39224,0.035959,0.24339,2.012,0.67708,0.94475,0.89377,1.8752,0.79429,1.0965,1.3921,2.5613,1.4195,1.6542,1.6043,0.69202,1.8009,0.9068,1.4376,1.4665,1.5567,1.3242,1.9314,1.7999,1.1481,0.43607,0.47132,1.0774,2,Surface
2.5039,1.3363,1.2108,0.89234,1.4347,1.393,1.4615,0.64723,1.4556,0.99284,0.084649,0.61058,1.3041,2.3463,2.0185,1.0595,0.30687,0.36088,1.343,1.0095,0.9764,0.78459,1.6562,0.20383,1.6365,0.79681,1.4188,0.63255,1.3746,0.85698,2,Surface
0.51344,3.0133,1.1075,1.1746,0.29014,2.2159,1.3411,1.7905,1.173,2.2386,2.4228,1.3038,1.513,1.0281,1.24,0.078584,0.69517,1.739,0.11904,1.6984,0.24946,1.1718,1.8009,0.90689,0.48547,3.0362,1.4398,0.98548,1.2315,2.4313,2,Surface
2.7509,0.90939,1.4365,1.6351,1.563,2.3802,2.0325,1.5749,2.3093,2.9354,1.995,1.653,0.92739,1.0961,1.4151,0.52103,0.92996,1.3478,0.11398,1.0527,1.6534,0.8041,0.16737,1.9602,0.56007,0.12592,0.90707,0.22853,2.4706,1.3163,2,Surface
2.3596,1.0723,1.3349,1.6175,2.2674,1.3315,1.7932,0.71069,1.5687,1.7814,0.83279,0.85745,0.20934,2.5219,1.2957,0.63972,1.9547,1.3699,1.056,2.0989,0.54434,0.76143,1.4614,1.8298,1.5699,1.1607,1.9519,0.85837,0.71972,1.4127,2,Surface
4.8997,1.4703,0.44707,1.0986,1.6643,1.9222,3.1834,2.9963,1.0574,1.642,2.6279,0.78946,1.547,0.78086,0.86417,0.85649,1.3097,0.62164,1.888,1.6543,1.0204,0.56272,1.0404,1.3492,0.66594,0.4503,0.59401,1.6812,0.40458,1.538,2,Surface
2.9632,0.93993,1.7135,0.83284,1.7201,0.84419,1.1695,0.75146,1.6755,1.1468,1.2627,2.56,1.0412,0.54282,0.58036,0.40687,1.5276,0.30499,1.1342,0.87961,1.3181,1.3162,0.67715,1.6038,0.97148,0.92211,1.7733,1.2785,0.29983,2.0714,2,Surface
0.72925,2.7411,1.8893,1.6231,1.0819,0.68033,1.2068,0.97281,2.7004,1.4074,2.1102,0.73632,1.7427,3.9591,0.47337,1.0597,1.2502,0.98552,2.1203,0.8261,2.2307,0.64953,0.43028,0.37909,0.9924,0.52589,1.9754,0.67204,2.6421,2.2718,2,Surface
1.7779,1.2196,1.514,0.52619,1.0149,0.49164,1.2002,1.5315,1.0934,1.6636,0.40873,0.97449,1.613,0.67811,1.3236,2.3058,2.0194,1.2308,0.9932,0.34242,1.7811,1.4722,1.9064,0.95372,1.8127,1.2217,2.5246,0.78854,0.68004,1.4219,2,Surface
1.3111,1.062,1.8764,1.5589,0.82149,2.4411,2.8326,4.5654,2.7565,1.5609,1.7461,2.4734,0.89329,1.5234,0.55594,0.41789,0.95971,0.9218,2.6352,1.6273,1.1945,0.71182,1.9953,2.3544,1.9947,1.4782,1.2873,0.71611,2.0294,1.4886,2,Surface
1.1348,1.3017,1.3564,0.34725,0.5364,1.5492,1.1398,0.51008,0.99006,1.0156,1.0031,0.13117,0.8305,0.63531,0.38566,0.90846,1.6503,2.0358,2.0025,0.26503,1.1134,1.2243,1.1048,0.98391,0.82616,0.17132,0.41932,1.0776,0.79925,0.76605,2,Surface
4.3024,1.984,0.40177,3.5379,5.5178,0.38184,0.12113,1.8243,1.491,0.93558,0.59445,1.1259,1.5571,1.4254,1.8634,2.0769,3.247,2.1574,0.94985,0.85275,0.37167,2.692,1.5178,1.3271,2.3956,2.5557,1.7468,1.5137,2.8365,1.0333,2,Surface
2.1742,1.1052,0.83259,1.6187,0.83584,1.3865,1.293,1.5044,1.2599,0.71057,1.0245,1.312,1.2489,0.79978,1.2324,2.1336,1.5927,1.6114,1.5695,0.53568,0.48551,1.4075,0.71465,1.9576,0.56744,1.3838,1.3663,2.0479,1.1148,1.0875,2,Surface
2.9466,2.2345,0.84029,0.93704,1.3335,1.316,0.82891,1.0128,1.1589,0.87696,1.119,2.2476,1.9289,0.68936,0.77968,0.94137,1.1224,1.1763,0.86275,1.1492,1.3428,0.70539,2.059,1.3054,0.83962,0.92387,1.2826,0.33097,1.0151,0.88554,2,Surface
3.6106,0.34485,1.2769,0.82627,0.69224,1.0728,1.1003,1.2034,2.2605,1.4702,1.7872,2.6124,1.8541,1.6722,0.53675,0.88961,2.2528,0.82089,1.2493,0.23745,1.2043,1.021,0.35638,1.4199,1.1635,0.40159,0.82708,2.2611,1.1266,0.51887,2,Surface
3.4305,2.9341,0.50824,0.57041,1.9559,1.764,1.3281,2.2657,1.326,1.3702,0.246,0.88661,2.2248,1.5206,1.1426,3.0072,3.0439,0.42703,1.01,0.93159,2.6036,1.341,1.0474,0.63659,0.59406,2.431,0.49098,0.24301,1.5046,0.21686,2,Surface
3.6671,2.0238,1.2159,0.93609,1.3946,1.3833,2.3757,0.69308,1.6998,1.9604,1.3077,0.83559,1.0873,0.26987,1.5948,0.65611,0.73349,1.8407,1.3352,1.326,2.1516,1.2607,3.1192,2.0974,2.6853,0.53171,0.83124,1.4357,0.42437,2.5536,2,Surface
0.17902,0.62864,1.6808,1.4599,0.57369,0.25507,0.14663,0.64323,0.70334,2.0991,1.3337,2.0446,1.8716,1.4044,1.3204,2.0875,1.3131,1.3233,1.2155,0.95203,1.6225,0.96137,0.66058,1.6526,1.7257,0.92915,1.1003,0.64412,3.8781,0.42607,2,Surface
2.3668,1.4078,1.0461,0.21975,1.4003,1.0115,1.4816,0.32323,2.1055,0.90723,1.5539,1.3986,1.7009,0.48261,0.88504,2.2214,1.767,0.33054,1.3604,1.9029,0.38877,0.36673,1.4512,1.4314,1.7288,1.216,0.50972,0.63912,1.9584,0.88402,2,Surface
2.7234,1.1273,2.2503,1.5796,0.73942,1.1521,1.6363,1.4577,0.99265,1.3428,1.5557,2.8471,1.1512,1.0745,1.3541,1.7537,1.8258,2.1211,1.2893,1.6459,0.81928,0.45647,1.7992,1.3267,0.35981,2.4147,2.1363,1.2169,2.0549,0.84756,2,Surface
0.78411,2.5292,0.80695,0.24697,0.81988,1.3154,1.0298,2.3507,1.3464,1.0434,0.16445,1.9199,0.35572,1.3697,0.87386,1.0277,1.1729,0.28614,1.666,1.0322,2.4119,0.36795,0.74599,1.7481,0.25952,0.31686,1.433,0.06204,1.103,1.5533,2,Surface
3.8045,2.0553,2.391,2.7263,2.8572,0.58712,1.7131,0.37009,0.97445,1.2975,0.38107,0.59234,1.3694,1.6102,0.90857,2.7581,0.41686,2.5941,1.7284,2.3626,1.438,1.7304,2.5401,0.49808,0.39284,1.9856,0.29041,1.2068,3.2256,2.4836,2,Surface
1.6018,2.8204,1.4867,2.3081,0.73212,0.84484,0.54172,3.0523,0.76983,0.52185,1.0922,2.1589,0.61565,1.8456,2.3621,1.5222,0.29322,1.9527,1.603,0.51893,1.1106,2.3551,1.2517,2.4251,1.1131,1.2432,0.20356,0.19673,2.1909,0.88948,2,Surface
1.6973,1.1595,1.3733,1.0359,1.6848,1.3666,1.9674,1.4757,2.8656,1.1988,1.1783,1.795,0.73366,1.6546,1.2054,0.96395,1.7806,2.8358,1.2144,0.79802,2.6123,1.4581,0.39539,2.7483,1.1679,1.1039,2.5211,0.17864,2.4475,1.9525,2,Surface
3.9635,0.62169,1.2345,2.1565,0.50864,2.3756,1.7954,1.051,2.3401,2.0868,1.3269,2.7621,0.83073,0.63334,3.6758,2.2933,3.2549,0.2399,1.0141,1.9822,0.83449,2.0387,0.89923,2.0454,1.9939,1.6081,1.2119,0.46728,2.0152,0.52844,2,Surface
4.8173,2.0393,1.7213,0.70902,1.3084,0.52258,0.36108,0.63871,2.4197,0.5157,0.40721,0.99072,1.1118,0.41182,0.38078,0.38344,0.95144,0.63805,1.3499,0.87749,0.47192,0.54937,0.32115,1.2595,0.86555,0.85654,1.1581,0.31418,0.47987,0.75629,2,Surface
2.4496,0.50525,1.4578,1.5874,1.6778,1.4382,0.48741,1.1824,1.9831,1.77,1.2127,0.16336,1.3295,1.606,0.54826,1.2156,1.3554,0.83528,1.4804,1.1816,1.3132,1.7658,0.98412,1.3185,1.0302,1.2537,0.73818,1.2382,0.65694,2.1506,2,Surface
2.4375,4.6307,1.2176,0.1054,1.9736,0.9809,0.78965,2.3195,0.42313,1.052,0.49106,3.6405,2.5163,1.6812,0.26628,1.1975,1.0665,1.4241,2.3762,2.1699,2.1265,1.9898,1.4731,0.53283,3.0068,0.86875,1.8705,0.69377,0.91459,0.64686,2,Surface
3.8324,0.24667,1.7022,1.2196,2.756,0.36103,1.9355,0.63015,1.0206,0.21149,0.9349,1.6162,1.7493,2.3293,1.0029,2.3229,2.3112,2.0374,1.8907,2.3489,1.2028,1.5887,0.27597,2.0208,0.94632,0.56329,2.6583,1.1663,1.1824,1.278,2,Surface
2.9651,1.9272,0.64596,1.5256,2.5824,1.3412,1.2705,1.7534,0.65557,1.2016,0.33658,0.75537,0.23631,0.8151,1.0755,2.4798,2.3548,0.63571,0.38961,0.87873,0.73508,0.57871,1.0669,1.9642,1.8051,0.97616,1.501,2.5097,0.44258,1.1629,2,Surface
4.9429,0.68334,0.93342,1.7031,0.31933,1.1936,1.3893,1.2339,0.70112,1.3332,1.5093,0.87747,1.0854,0.56631,1.2508,0.53691,0.66304,2.3309,1.6936,1.825,0.87313,0.52427,2.0613,1.3967,1.49,1.4,0.283,1.2744,2.0648,1.9791,2,Surface
3.5797,2.7845,0.70777,1.8411,0.81422,1.2319,0.69835,1.8373,1.1665,1.0673,0.50416,2.1487,1.7194,1.0493,0.76291,1.6239,0.099124,0.65276,1.0697,0.88235,1.4004,1.0267,0.39663,0.7528,1.1176,1.6624,0.41358,0.71791,1.8674,0.61926,2,Surface
1.7826,4.9282,2.5039,0.8409,1.7149,1.9966,1.2919,2.5295,1.6345,1.2267,1.1864,4.5699,2.1211,1.3215,2.6241,0.64505,1.6262,0.63593,0.33349,1.8748,1.2716,0.50671,2.9984,2.6104,1.2521,0.37318,3.3934,0.59497,1.0493,2.1198,2,Surface
1.6781,1.7544,1.7598,1.718,1.1145,1.475,0.3671,1.2857,1.1759,1.9702,1.1286,0.44634,1.0196,1.6071,0.25208,1.8333,0.71276,2.0187,1.5654,1.229,0.47743,1.3463,1.8969,1.7494,0.43254,0.76193,0.89872,2.6572,0.4815,0.63873,2,Surface
3.7542,0.5718,1.8131,0.96585,1.3246,2.4238,1.9126,1.7497,1.6961,1.5136,1.369,1.1035,1.7818,1.48,1.1873,1.4056,0.9025,1.3509,2.5956,1.4725,1.4392,1.5209,0.83321,0.7285,1.8275,0.78155,0.53851,0.95123,1.8987,1.8938,2,Surface
0.98714,0.50627,1.2945,0.82099,2.2848,2.5513,0.39889,1.6836,1.34,1.7782,1.1434,2.2184,1.0508,0.14614,1.3909,3.6693,2.0304,1.046,0.70969,1.1298,0.96146,0.70695,1.3843,1.2089,1.2679,2.2538,1.2776,3.1521,2.174,2.3215,2,Surface
2.7403,1.4309,1.4905,1.6483,0.72538,0.75531,1.1124,1.201,2.0557,0.86804,0.27765,0.64613,1.0707,0.21327,1.5881,3.0226,1.8208,0.65894,0.36684,0.83754,0.45401,1.7169,1.6109,1.9873,0.76213,0.89123,1.0881,0.40362,0.86556,2.338,2,Surface
0.9364,1.0881,1.3371,1.2885,2.9195,1.5191,1.3688,3.0813,0.43739,2.3075,2.2316,4.1968,2.3079,0.65319,2.2833,0.34297,1.2905,1.4158,2.4621,2.4962,1.1823,2.4253,1.623,1.1416,1.2183,1.0678,2.3533,0.80718,3.7288,0.49385,2,Surface
4.3892,3.437,1.7685,2.0983,0.80309,3.9968,0.53993,0.68822,1.6053,3.095,2.4194,1.1929,0.6409,2.208,0.92597,1.7028,0.41752,1.6264,2.7637,2.1338,0.69039,1.0419,1.6736,1.9943,1.4993,0.61639,0.8374,3.1972,0.38614,1.269,2,Surface
0.73093,1.8486,3.0585,2.1551,2.542,1.1338,1.3779,2.2949,2.7942,0.85974,3.1419,2.8453,2.8465,0.15172,0.8182,0.66859,2.2288,2.3249,0.74711,1.0092,2.862,1.6228,1.0453,0.75425,2.4785,2.1065,1.3571,1.3336,1.0646,0.85254,2,Surface
3.599,1.1292,1.4413,1.5535,1.5753,1.0383,2.2836,0.65769,3.6037,1.9308,1.5324,0.85474,1.758,0.69011,2.4515,1.9875,0.86722,3.105,0.29232,2.0836,2.5628,0.95185,1.8508,2.0108,2.7932,1.3316,0.29648,2.2375,1.9479,1.1279,2,Surface
3.3016,1.4561,1.4082,1.746,1.8643,1.0139,1.8906,1.2338,1.0237,1.4543,1.2126,2.0042,1.1534,1.3421,0.88047,1.172,1.0149,1.8179,1.7442,1.2812,2.7738,2.1279,0.42366,2.0537,1.6215,1.4816,1.424,1.0414,2.9084,0.77066,2,Surface
0.20631,1.927,2.8555,1.3792,0.75378,1.7109,0.38572,1.072,0.64501,0.65561,1.0703,0.99411,1.7322,1.2284,0.28366,1.763,2.2477,0.74847,1.495,1.869,1.0513,1.7857,1.5033,1.5963,1.9,0.38598,2.344,0.091168,1.6815,1.7006,2,Surface
4.2645,2.1213,0.59484,1.7282,1.0885,1.5091,1.4091,2.0393,3.2134,1.7124,0.46951,1.0618,1.0782,0.60344,1.6608,0.46333,1.6817,1.3942,0.39433,1.1036,1.473,1.246,1.9183,1.0911,0.74987,2.2659,0.98827,1.4432,1.0532,2.4002,2,Surface
1.1276,2.7022,1.1356,2.8749,0.88172,3.0426,1.9031,2.1416,1.4164,1.9283,0.68393,0.65268,2.6756,0.42839,1.3881,1.7015,0.40196,1.3341,0.10905,0.96112,1.6947,1.2464,0.32842,0.98041,2.3493,0.54254,1.247,2.3399,1.0942,0.66039,2,Surface
0.65676,1.2569,1.9438,1.3173,1.5556,1.4163,1.9687,1.3862,1.5239,1.6011,1.4775,1.5896,1.236,1.5829,2.2002,1.2213,1.2515,1.1363,3.0299,0.66216,0.70651,1.8375,0.7184,1.5048,0.43411,1.3847,1.2802,0.76355,1.4241,0.66261,2,Surface
4.2297,0.5637,2.1474,0.13505,2.5577,1.5632,0.84849,1.2252,1.0513,1.7766,1.1069,1.5338,2.6318,1.853,0.46614,1.8951,1.4954,1.9892,1.9897,2.1438,2.0299,2.3413,2.0487,0.48658,1.339,1.9879,1.1953,1.2044,1.2342,0.19958,2,Surface
0.54758,0.97951,2.416,0.97311,1.0162,0.73366,0.69764,0.65261,2.5814,1.3046,0.48329,1.1413,1.4642,1.8273,1.4871,0.64212,0.38626,1.1812,1.4349,0.83393,1.1272,1.6753,1.0601,0.90795,0.98166,0.91745,1.8431,1.1023,1.1993,1.1167,2,Surface
2.4869,0.67899,1.5647,1.5301,0.92006,0.094351,1.2816,0.29498,1.2827,0.44657,1.6884,1.784,1.2269,3.0878,0.18955,0.907,1.2794,1.155,1.0282,0.9319,2.1852,1.7135,2.7869,1.6114,1.895,0.3664,1.2832,0.85975,0.71127,2.7592,2,Surface
