F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,Label
3.0409,8.9566,4.5324,7.1715,5.8878,2.2194,3.7763,2.9471,6.9023,4.0506,2.1498,8.2306,5.6457,3.248,1.5264,6.8676,5.5379,9.834,2.9115,4.337,6.0202,3.4155,3.0639,6.8213,6.9351,6.292,3.0852,5.3495,9.393,2.5073,1,Corona
6.1884,2.8809,11.162,6.7017,1.6962,4.8116,5.3938,3.5563,0.9471,7.7104,3.4475,2.4125,4.5805,4.5259,4.5567,5.5441,3.5884,7.4302,4.3674,1.5745,7.645,4.6152,8.5339,4.3828,14.86,5.1976,4.1521,9.2444,6.6958,10.651,1,Corona
1.0147,10.249,4.7223,7.0946,3.8633,4.7221,7.4176,2.5546,2.8749,7.5656,2.9412,2.3993,5.6009,4.5681,6.0109,3.7372,2.3727,4.4448,5.6901,1.7404,5.4054,6.2855,5.308,6.2716,8.2604,2.6921,3.2256,7.2694,3.9853,5.1728,1,Corona
6.1965,8.3008,5.9689,3.6773,6.1527,6.7201,4.709,5.9645,6.0442,1.4971,5.1125,5.9149,3.8104,1.4602,5.6205,3.5067,6.8639,7.6862,3.5224,0.50317,3.3757,4.7567,5.2097,3.366,1.0641,0.60021,4.8446,3.4578,6.1269,7.2904,1,Corona
3.3072,8.0616,11.986,3.3827,4.6948,6.4562,1.6037,2.2908,3.2292,4.5165,1.2061,3.6106,4.2245,4.1945,1.1341,6.5172,3.378,6.638,4.728,2.7847,3.4145,2.103,2.4272,3.2294,7.5085,1.6244,2.4377,2.9751,11.775,7.7792,1,Corona
2.6907,5.1158,3.7404,6.0805,6.0184,7.0576,4.7298,10.649,5.5785,1.3944,7.4668,4.8101,3.9495,2.3721,1.6571,4.587,3.8152,3.0344,1.305,11.469,2.7754,5.263,3.8307,4.9493,7.5459,9.199,12.139,7.075,2.1651,4.4073,1,Corona
7.4137,5.9939,10.818,7.7068,4.4634,3.5364,13.086,6.7333,3.4722,1.6748,7.972,6.8863,2.9671,2.1107,3.3336,2.2909,5.0865,3.0205,8.1525,4.6351,2.6798,6.2892,9.8518,2.3287,4.8887,4.6443,6.0508,5.5207,3.8569,8.2921,1,Corona
4.9244,5.5379,7.5474,5.7306,4.6735,6.5073,6.9851,1.7478,2.3109,6.4396,1.7626,7.6682,5.1774,3.3935,7.8445,1.8105,5.0101,4.1253,4.4557,10.218,3.4688,7.7122,1.1765,9.812,6.4966,4.9579,8.4695,9.3949,0.61579,4.6181,1,Corona
6.0663,3.7699,3.0022,4.3585,3.1469,4.6734,2.4898,2.5917,3.8235,2.3631,3.376,4.6744,3.4461,2.0394,5.0455,2.135,4.2665,1.9698,1.6656,1.4941,5.1186,2.4306,6.9138,3.1735,9.1696,2.1009,3.9314,1.6685,3.6496,1.9663,1,Corona
5.2747,6.6451,3.4021,6.8136,4.0344,5.1465,3.4019,7.2435,3.0797,2.5978,4.7106,3.058,4.2143,0.72211,1.6874,6.8556,8.4677,7.6551,3.7229,6.155,0.13984,6.6715,2.8876,6.5352,6.5068,7.6489,5.0882,8.5177,6.4608,3.3262,1,Corona
10.354,6.2769,12.641,6.8189,10.258,9.5498,3.5496,6.9875,6.7391,6.7211,4.7433,3.5804,5.4655,9.5869,1.6075,7.1769,3.7294,6.0493,4.5736,4.2183,4.9003,8.4289,5.0806,6.0806,3.7888,9.7796,4.5288,1.9303,5.4345,3.1296,1,Corona
5.7129,3.934,5.7178,1.0042,1.6532,2.9178,2.6907,3.747,4.4633,10.125,6.2418,7.9956,12.936,3.7271,5.8499,7.6473,2.4023,10.482,3.59,11.046,3.8778,1.9825,6.9095,5.2785,6.3941,9.1568,6.4615,3.4195,2.6706,1.5901,1,Corona
0.19411,2.7639,8.5867,4.2981,5.0524,4.8322,3.4869,4.3873,3.0005,4.5344,7.9951,7.9026,4.9295,6.9571,2.772,12.41,6.411,4.8168,5.7287,7.9746,1.6897,3.062,5.4455,8.4833,12.688,1.6976,4.7298,4.4808,3.079,0.76533,1,Corona
4.1755,6.4726,4.3362,6.2946,2.2728,4.1118,7.3573,2.3123,8.9045,1.3505,5.129,4.5314,2.1873,2.6494,2.0296,5.6124,3.8361,0.30818,0.69921,6.7343,4.4712,0.87757,2.9809,4.0958,1.869,1.8708,6.5411,1.3471,4.1051,2.5427,1,Corona
0.94479,13.982,16.886,6.6653,7.2713,6.7603,10.692,3.6879,4.7257,5.6289,3.4232,6.6287,8.0969,2.9625,7.2112,13.868,15.285,3.9956,3.5174,13.511,5.2546,10.075,9.2633,2.6711,4.3867,8.152,2.1391,8.4446,3.35,8.5681,1,Corona
2.7074,1.7803,2.5483,10.396,8.1194,3.6478,5.2258,2.2654,5.2763,10.351,1.8699,0.59852,7.5515,5.6053,4.9309,5.8913,2.5885,4.2603,8.1541,5.0115,8.4022,2.9257,8.8084,0.89678,9.1535,10.347,6.1974,7.65,2.6086,6.2848,1,Corona
7.9218,18.975,10.57,1.9066,8.523,10.387,5.0274,2.9156,4.4787,2.2881,4.2482,4.3151,6.8886,7.0548,7.7336,8.7248,6.1188,7.7703,1.134,11.758,8.6499,4.8543,4.0741,3.9913,8.572,11.996,5.7437,3.0094,4.8101,4.9704,1,Corona
2.0149,9.0488,4.2326,1.9895,3.7652,5.0998,7.2317,1.8431,2.0057,2.7012,5.9518,5.8669,1.5341,3.0446,2.7795,3.712,5.5984,0.89669,2.1331,2.188,6.1351,1.8714,4.155,2.645,4.4744,2.27,1.7401,4.886,3.5704,2.1344,1,Corona
7.5969,11.198,3.1342,4.2093,5.6847,4.5209,6.4437,4.502,3.6719,2.6719,2.9204,6.9487,3.5189,5.2555,9.3413,0.92323,4.3908,2.456,5.4519,2.8208,6.1259,8.9989,7.9167,6.3206,5.3447,4.5138,5.8325,1.8509,1.2477,4.0701,1,Corona
6.8817,8.8997,13.122,0.98426,2.4522,12.462,0.53119,3.2842,1.7631,4.3904,12.078,1.4091,7.1673,9.4986,8.3124,5.7959,6.4181,2.7883,9.2559,8.1072,4.0283,4.1828,3.0183,6.7001,4.9662,6.8391,6.5764,0.71863,9.1294,3.52,1,Corona
9.9989,2.8462,12.013,9.9564,6.9814,12.422,2.9693,4.5571,2.2952,6.201,8.5441,7.7892,3.8212,5.9416,6.0938,2.3646,5.2138,7.547,3.4881,11.079,7.5938,7.0071,4.15,3.8935,12.71,8.9451,3.8285,5.4189,5.608,4.0863,1,Corona
1.2967,9.921,9.7105,10.109,6.3099,4.2514,9.4344,4.5227,10.053,6.7085,1.2378,4.8446,6.5847,7.0877,3.9261,8.2163,6.1613,2.5114,4.1366,2.3147,10.86,3.8648,3.268,4.4541,3.1694,7.0697,4.2083,3.4209,6.6916,3.3067,1,Corona
6.5887,3.0825,4.0906,2.7602,3.2024,0.48364,2.1241,1.1245,1.5452,5.0712,2.7455,7.1844,6.1249,3.2253,3.0681,0.99927,1.6598,1.6369,1.7151,3.9841,2.9084,5.9978,0.97449,2.8758,3.0276,7.8263,1.6205,3.6695,0.58302,7.4283,1,Corona
0.25809,19.562,8.1466,13.252,5.9798,6.8101,3.6887,1.129,3.402,8.6213,16.744,8.7278,4.4635,1.6761,5.9396,9.4169,6.1915,13.491,10.011,15.498,4.0543,5.2909,3.7231,4.8314,2.4561,8.8392,0.27979,7.705,6.8843,6.0776,1,Corona
1.5061,25.346,5.3145,3.6313,11.838,4.875,11.707,4.5089,11.77,5.9717,4.8848,8.0337,7.783,1.5221,1.4578,2.5455,7.4673,8.5333,5.1074,5.5834,11.403,11.696,4.4305,7.1468,4.3693,7.1286,5.5398,6.6772,7.0218,3.3879,1,Corona
5.8959,6.5588,5.3092,8.1229,14.853,6.8879,1.6416,4.2837,5.5025,4.5223,10.981,3.1772,3.752,7.2129,9.1453,3.192,5.2114,8.3992,7.4255,0.86222,9.3982,2.1703,9.2312,4.7476,1.8227,3.2376,2.9057,9.4991,5.3469,6.8894,1,Corona
2.0183,7.3804,14.187,7.3672,2.8129,5.8857,2.8365,4.904,1.1502,3.8241,7.4693,1.8825,6.7139,2.2044,2.6709,6.1439,7.0925,2.1348,10.21,3.2873,4.0294,3.3737,4.2036,7.8421,10.613,4.9754,5.7843,4.8055,4.3961,2.0032,1,Corona
