F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Label
10.224,6.9287,25.675,12.006,8.1536,8.7808,18.518,20.053,18.894,1.8016,7.4402,22.624,3.0327,24.921,6.4533,16.105,2.5037,7.079,13.241,13.12,21.73,6.8639,10.592,13.787,18.566,12.263,10.359,9.8815,16.053,15.767,14.707,5.4994,11.577,18.203,18.575,1,Corona
10.921,19.593,7.8594,17.163,14.92,5.7984,6.6257,17.904,7.3507,20.253,11.361,16.721,13.771,10.587,3.4392,24.824,12.237,12.85,2.3178,35.025,10.434,4.4869,7.8322,17.558,8.1309,29.974,11.972,40.162,11.386,16.079,10.48,16.013,2.3857,15.312,19.203,1,Corona
11.922,7.3294,19.96,10.781,1.8784,7.8338,20.511,31.606,19.997,20.448,15.827,14.437,16.008,13.534,16.685,10.282,4.9598,11.305,8.3912,28.084,2.3608,10.241,12.102,33.334,22.01,4.7831,17.13,25.525,21.191,5.7291,14.037,13.58,15.404,10.839,4.6438,1,Corona
8.3966,9.9935,6.0637,19.54,21.058,17.536,10.629,19.108,12.016,24.131,14.96,32.373,29.37,6.9873,17.327,15.153,4.9665,24.621,7.6245,16.092,13.639,6.35,7.0908,3.1325,5.5401,14.417,15.944,22.613,9.8079,18.808,5.9034,14.42,2.5395,18.359,14.261,1,Corona
11.208,13.933,16.942,5.01,14.849,22.737,14.393,13.945,16.114,13.568,11.526,2.1092,8.8152,5.2423,30.244,8.0688,16.946,12.439,28.763,8.484,8.2402,11.851,11.395,5.6379,30.779,25.845,20.213,16.64,9.8678,4.4261,3.3224,10.899,25.312,20.77,11.392,1,Corona
36.461,27.8,24.951,15.485,14.938,7.827,34.157,22.915,15.266,33.766,4.1933,23.324,21.688,10.253,17.514,16.005,2.8569,20.413,1.9323,23.061,10.086,14.53,5.6103,13.842,10.89,24.833,22.371,18.57,31.676,31.451,20.719,6.1158,14.079,23.97,11.167,1,Corona
12.919,6.1372,12.204,29.67,33.443,5.6617,6.1095,19.536,6.8187,27.456,6.3452,12.632,26.557,8.031,27.456,1.0707,4.2064,15.39,16.296,14.477,13.288,14.354,7.5069,11.385,13.918,16.385,5.6349,6.0281,19.208,16.127,34.709,10.31,32.85,18.52,14.807,1,Corona
3.405,15.115,14.272,10.074,8.3505,19.396,25.31,11.872,3.0915,12.333,11.47,11.614,5.1578,25.949,4.2769,8.3269,10.557,24.544,6.0865,10.807,10.083,3.0249,10.3,30.16,7.0514,5.1403,20.767,33.688,18.227,20.259,19.289,4.6896,9.4324,12.964,19.926,1,Corona
11.665,13.944,17.107,21.353,10.75,34.045,12.672,8.9834,23.311,7.1585,21.584,20.867,23.498,27.576,11.346,15.15,20.615,29.03,7.9069,25.322,18.175,7.9648,16.786,14.795,18.723,11.059,6.1523,32.118,11.096,14.943,13.503,23.962,10.229,28.403,17.001,1,Corona
17.322,17.12,8.524,9.4479,15.231,8.0493,10.293,18.024,7.9743,6.4043,24.271,7.5046,21.933,6.691,17.874,20.579,6.8964,4.7074,16.113,4.1903,11.145,10.066,26.235,16.685,14.677,6.8352,13.958,3.7588,17.995,3.2471,20.666,5.6798,7.6523,19.588,8.6593,1,Corona
16.502,11.204,16.415,23.706,11.569,29.368,8.8173,6.0123,7.7336,10.658,13.784,15.455,22.152,17.884,14.894,20.493,10.369,19.983,19.385,20.122,2.2527,23.782,24.737,24.815,24.083,9.6914,8.2748,27.773,7.0169,16.276,8.5268,20.932,9.6219,13.703,14.145,1,Corona
9.4756,24.384,8.1264,22.947,31.796,10.451,16.355,16.035,19.338,8.7518,13.67,21.406,41.294,18.279,9.4628,9.041,21.299,18.784,18.092,13.059,7.6542,25.012,19.938,23.387,35.665,22.771,20.145,6.3804,14.189,6.1184,11.555,10.575,10.235,21.104,18.783,1,Corona
