F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,Label
0.86152,0.57679,0.14548,0.86332,1.5874,1.817,1.3195,1.0515,1.1048,0.22497,0.23848,0.53425,0.26377,0.37244,0.1307,0.083587,0.10328,0.29215,0.24392,0.29816,0.088485,0.076567,0.03346,0.16316,0.26424,0.069827,0.27798,0.082586,0.11849,0.13816,0.055368,0.14775,0.046999,0.1767,0.16496,0.093629,0.04131,0.16703,0.16692,0.13064,0.13967,0.19922,0.29335,0.10083,0.25688,0.034837,0.074283,0.080441,1,Corona
0.52336,0.34649,0.11574,1.3452,2.7525,2.5443,2.0252,0.79427,0.95107,0.037366,0.09474,0.10379,0.52629,0.55601,0.32039,0.22384,0.23779,0.055138,0.046282,0.07213,0.23122,0.10977,0.19491,0.12411,0.018759,0.10272,0.028759,0.11373,0.078427,0.05632,0.058297,0.2694,0.043859,0.19596,0.12226,0.071553,0.1637,0.25308,0.16053,0.27685,0.27889,0.15586,0.29292,0.11911,0.024436,0.075405,0.12869,0.11371,1,Corona
0.98098,0.50901,0.076681,0.91823,1.973,1.7458,1.2779,0.74181,1.2798,0.092003,0.122,0.53163,0.39088,0.62353,0.037619,0.15619,0.32266,0.17054,0.013394,0.10707,0.28435,0.051408,0.23513,0.086797,0.25951,0.087186,0.10516,0.12155,0.1762,0.11478,0.09726,0.14401,0.12617,0.12081,0.11411,0.24822,0.1971,0.055367,0.12201,0.085054,0.10303,0.06556,0.16459,0.13209,0.15081,0.17068,0.1427,0.083959,1,Corona
0.79412,0.49028,0.1544,0.90627,1.6335,1.4424,0.25612,1.3103,1.6311,0.51405,0.65305,0.62749,0.60982,0.67092,0.13182,0.081893,0.075721,0.17127,0.061329,0.19867,0.15693,0.16953,0.19303,0.1544,0.12928,0.083591,0.13447,0.1466,0.16432,0.18265,0.050777,0.17444,0.10557,0.14384,0.3106,0.24534,0.20747,0.066636,0.26753,0.14048,0.064453,0.15342,0.15578,0.043221,0.15932,0.058652,0.11231,0.19172,1,Corona
0.77993,0.39052,0.11956,1.124,1.2407,1.6921,0.53863,0.95021,0.83922,0.13333,0.13099,0.28556,0.22295,0.33975,0.10444,0.31779,0.27218,0.12435,0.065981,0.14029,0.1462,0.15717,0.2248,0.11907,0.072426,0.18308,0.13602,0.14056,0.068565,0.049708,0.12988,0.19527,0.20221,0.23319,0.01257,0.222,0.012584,0.039829,0.16484,0.13846,0.2053,0.16262,0.092831,0.091264,0.13192,0.1632,0.2277,0.07863,1,Corona
0.55597,0.39367,0.10524,1.8262,2.9699,3.1692,2.2965,1.1796,0.72143,0.11447,0.13956,0.17504,0.79196,0.92004,0.23114,0.33515,0.070249,0.19478,0.15961,0.21532,0.21999,0.21107,0.073175,0.16571,0.11709,0.10038,0.27187,0.030893,0.20318,0.2288,0.10081,0.32559,0.060843,0.22592,0.11711,0.31351,0.15256,0.19149,0.073127,0.069046,0.08479,0.09164,0.10255,0.24577,0.31678,0.13576,0.17921,0.12561,1,Corona
0.5528,0.25342,0.13353,1.2149,2.5357,2.476,1.9123,0.64901,1.3137,0.29774,0.11626,0.57055,0.13246,0.137,0.17587,0.15017,0.28126,0.1021,0.087483,0.16738,0.19667,0.32422,0.144,0.14629,0.094686,0.084266,0.046336,0.18416,0.10933,0.042146,0.038696,0.13613,0.148,0.21265,0.080816,0.16835,0.09429,0.10806,0.088403,0.039025,0.12256,0.11428,0.025005,0.041752,0.14445,0.11594,0.06922,0.12126,1,Corona
1.1268,0.78133,0.22707,1.82,2.6414,2.3681,1.365,0.86304,0.49714,0.34815,0.26002,0.17872,0.44948,0.88747,0.20878,0.20947,0.19751,0.24905,0.19281,0.062353,0.24219,0.091573,0.32511,0.07402,0.17131,0.22617,0.25287,0.030674,0.17446,0.071921,0.15115,0.16558,0.28437,0.27783,0.26955,0.16633,0.083947,0.063803,0.19695,0.11316,0.19343,0.11477,0.079267,0.15286,0.097546,0.094422,0.18245,0.19774,1,Corona
0.9813,0.52074,0.11992,1.6496,3.1075,2.5798,2.1982,1.2242,0.76239,0.04302,0.057142,0.11015,0.33979,0.46268,0.21825,0.17532,0.28513,0.18386,0.092665,0.045931,0.11544,0.16293,0.19929,0.12162,0.15625,0.057257,0.090666,0.094911,0.097504,0.16987,0.11032,0.20452,0.069552,0.22937,0.091292,0.16466,0.38327,0.04926,0.14163,0.11912,0.26217,0.13044,0.10612,0.094257,0.15977,0.14027,0.1134,0.27989,1,Corona
0.61731,0.39669,0.2018,1.5271,2.5766,2.8238,2.3628,1.1607,0.95656,0.39861,0.27679,0.24835,0.079164,0.30672,0.32664,0.13266,0.13851,0.15818,0.28456,0.20393,0.096481,0.22981,0.15424,0.38206,0.055588,0.040681,0.07322,0.12,0.050301,0.094253,0.16352,0.16983,0.16794,0.096165,0.17366,0.22286,0.41773,0.14702,0.124,0.1826,0.24357,0.031661,0.14514,0.18738,0.1548,0.19137,0.066009,0.19751,1,Corona
